id,family
291,783
294,1826
296,2864
297,2021
298,4503
299,3767
300,3112
301,6208
302,2956
303,4513
304,3502
305,5892
306,3744
309,1817
310,212
311,1865
312,1261
314,5144
316,6386
318,374
319,3333
320,5981
321,1374
322,5681
324,5004
325,3390
326,823
327,14
328,2630
331,5823
332,3259
333,853
334,3776
335,2192
336,1484
337,6150
339,2116
340,4289
342,6008
343,3612
345,4798
346,5633
347,4796
348,466
349,3748
350,1577
351,4997
352,4364
353,6239
355,6133
356,4235
357,3744
358,6198
359,4141
361,1210
362,4273
363,3335
364,1082
366,1822
367,1960
368,1271
369,1460
370,2915
372,4641
373,2706
374,4460
375,3691
377,4051
378,3448
379,6040
380,4916
385,849
388,1252
389,4576
390,6315
392,2021
393,5783
395,4852
397,1836
398,950
399,2773
400,2033
401,5450
402,1827
404,744
406,1345
407,2021
409,3833
410,3167
412,3365
413,5198
414,6204
415,5004
416,4874
417,5126
419,5566
421,1475
424,6352
427,4286
428,1990
429,5828
430,234
431,5311
432,212
433,4182
434,2365
436,4520
437,370
438,4883
439,6239
440,4750
441,1508
442,1492
443,5870
444,144
445,5469
446,3635
447,5059
448,134
449,1674
451,2455
452,5721
454,3353
455,1564
456,771
458,1428
459,1562
461,2134
463,4347
464,5632
465,690
466,5892
467,5623
468,3317
469,1363
471,628
475,1825
476,4393
477,2877
479,2002
480,3945
481,3973
482,1086
485,1679
486,234
487,4170
488,484
490,1020
491,1777
492,4507
493,4952
495,934
496,3710
497,1681
498,3479
499,1691
500,6153
501,2253
502,2278
505,4044
506,1170
507,3885
508,6323
509,6245
510,6008
511,4860
512,1729
514,5455
515,689
516,3382
517,4775
518,5004
519,2705
520,5567
522,4291
523,1730
524,5965
525,1210
526,4802
527,1210
531,4274
533,3346
534,3776
535,6028
539,801
540,745
541,691
542,1587
543,2853
544,178
545,1638
548,2372
550,1494
551,4738
553,1452
554,4160
556,3502
557,4400
558,3516
559,2829
563,5113
564,6182
565,1892
567,1275
568,3342
570,5311
572,1210
573,3744
574,2400
575,926
576,5043
579,5385
581,3666
582,5603
583,2700
585,3156
586,1587
588,617
591,2312
592,6111
594,574
595,2318
596,1851
598,2277
601,3206
602,1111
603,4926
604,1429
606,3512
608,4892
610,1281
611,5366
612,2021
613,2289
614,3416
615,4375
616,430
617,5131
618,4555
620,6099
623,2277
625,4891
626,1210
627,4717
628,1351
629,3206
630,5953
632,2423
635,5701
636,315
637,2174
638,5794
640,0
643,1683
644,4592
645,676
648,5004
649,1481
650,1480
651,3842
652,3752
653,2846
654,266
658,3614
659,1739
661,2590
662,6128
663,2021
664,4368
665,4811
666,3744
667,3347
669,209
670,6111
671,2021
673,3469
676,1467
677,2034
679,3255
680,5106
681,3625
682,4938
683,3440
686,2996
687,2918
688,2633
689,5525
690,10
691,643
694,718
695,1897
697,2282
701,2277
702,3463
703,1869
704,4919
705,5753
706,5417
707,3319
709,2299
712,4191
713,4952
714,5702
715,4105
716,5511
717,6329
719,5298
721,2021
724,4391
726,1393
727,5029
728,4853
729,5971
730,2455
731,5790
732,767
733,3512
734,2021
735,4646
736,6211
738,2514
739,3698
740,4274
741,2084
742,6326
743,5778
744,5512
745,5799
746,4129
749,627
750,3736
751,816
752,3690
753,4871
754,2885
755,3355
758,2136
760,66
761,5892
762,1858
768,5768
769,1082
770,1770
771,3705
773,3291
774,1210
775,1373
777,3179
778,4519
780,5004
781,1210
782,234
783,6228
786,2202
787,2571
788,5158
789,2387
790,4503
791,10
792,2089
793,4941
794,3812
795,1719
796,6069
797,76
798,539
800,2467
801,814
803,5575
804,2543
807,1940
809,5599
810,830
811,212
812,5066
814,739
816,2773
817,1136
818,1210
819,586
820,2069
823,5684
824,4502
825,576
826,2850
829,1701
830,5555
833,2010
834,758
835,3207
836,4291
837,2108
838,2702
839,4783
840,1829
842,876
843,2886
844,3776
846,4187
847,2926
848,1135
849,444
852,4203
853,5633
854,2021
855,5084
856,6290
857,2608
858,767
859,4402
860,1273
861,6230
862,5283
863,4630
867,3998
870,386
871,212
872,3936
874,5608
879,6264
880,1179
881,4092
882,1699
885,1498
886,6028
887,6194
888,380
889,723
891,411
892,1847
893,4739
896,3697
897,4518
898,778
899,4146
901,6162
902,927
903,2891
904,2418
907,208
908,371
909,4627
911,956
913,6131
914,2021
916,4076
919,212
920,2427
922,2279
923,860
924,3055
926,4725
927,3145
929,2305
930,3069
931,6239
932,2846
933,300
934,532
935,693
936,2139
937,140
938,3507
940,4106
941,312
942,5259
944,4375
945,5155
946,2349
947,71
948,1166
952,6080
953,2095
955,6369
956,3127
957,948
958,2907
959,2745
960,5259
961,3851
963,5943
964,4891
965,5873
966,3607
968,1564
969,3287
971,4820
972,4956
973,4989
975,3856
976,853
977,2277
979,757
980,6366
982,5281
983,2183
984,1158
985,3208
988,5632
989,5632
990,2277
992,5122
993,1886
994,3465
995,1748
996,4369
997,255
998,2434
999,2984
1000,2081
1001,1690
1003,1703
1004,3181
1005,742
1008,5079
1009,1587
1010,823
1012,6195
1013,1629
1015,72
1016,1210
1017,1064
1018,5930
1019,1044
1020,4948
1021,738
1022,3744
1023,3140
1025,2187
1026,3296
1028,3704
1029,670
1030,1518
1031,3502
1032,2048
1037,1766
1038,2385
1040,398
1041,2512
1042,3524
1043,2987
1044,5687
1046,4722
1047,1210
1048,2137
1049,4627
1050,4720
1053,2095
1054,1020
1056,525
1057,2021
1058,5446
1060,5652
1063,5190
1065,1151
1066,3463
1067,3410
1069,5359
1071,179
1072,1081
1073,4627
1074,2646
1075,2360
1080,1090
1081,1045
1084,4429
1085,2916
1087,1192
1090,4431
1091,2826
1092,5701
1093,3446
1094,3847
1096,5795
1097,5835
1098,5633
1099,1074
1100,4093
1102,1790
1103,4647
1104,1798
1106,351
1107,3829
1108,3948
1110,5366
1111,6230
1112,3189
1113,5873
1115,3785
1116,6078
1118,4952
1119,1681
1120,6209
1121,2253
1123,2430
1125,4742
1126,5559
1127,4968
1132,713
1134,6216
1135,5769
1136,2240
1138,2274
1139,1587
1140,3984
1141,2709
1145,1210
1146,3191
1147,1930
1149,3467
1150,1508
1151,370
1154,3076
1155,6279
1158,4102
1159,215
1161,4419
1162,4575
1163,4262
1165,3988
1166,266
1167,3215
1170,2654
1171,4618
1173,4789
1174,4469
1175,900
1176,4079
1177,2277
1178,266
1179,5004
1182,5892
1183,5140
1185,3874
1188,2095
1192,237
1194,5785
1196,1546
1197,4562
1199,6223
1201,3404
1204,6022
1205,2755
1206,4539
1207,5684
1209,6226
1211,486
1212,4485
1213,4203
1216,45
1217,412
1219,3467
1221,1775
1223,552
1224,3621
1226,277
1229,4127
1230,5890
1231,2277
1233,1600
1234,4291
1236,2547
1237,6111
1240,5705
1241,2900
1242,4168
1243,1646
1245,5179
1246,4777
1247,6244
1250,2430
1251,4670
1252,260
1253,5968
1254,1824
1255,4714
1258,288
1259,4272
1260,6356
1261,5355
1262,4941
1264,3871
1265,5353
1266,3025
1267,2871
1269,3782
1270,1795
1271,6305
1272,4102
1275,1141
1276,2021
1278,3871
1279,4506
1280,4917
1281,1464
1282,4108
1284,1590
1285,3612
1287,2718
1288,5342
1291,4313
1292,2331
1293,4658
1294,2987
1295,5982
1298,4102
1299,2277
1301,1161
1302,1826
1303,4037
1304,4883
1305,5084
1306,5266
1307,2036
1308,5259
1309,5951
1311,3562
1312,5084
1313,465
1314,6342
1315,3772
1317,4347
1318,6320
1320,4501
1323,4399
1326,5748
1327,5704
1328,1118
1329,1418
1330,3201
1332,3542
1333,5544
1334,2833
1335,4057
1336,353
1337,5784
1339,2080
1340,3184
1341,2407
1342,5404
1346,848
1348,2816
1349,5022
1350,975
1351,1646
1355,6045
1356,2893
1357,5082
1358,5343
1359,4020
1360,685
1361,3820
1362,6342
1363,3634
1364,5088
1365,3474
1366,4246
1367,1271
1368,4469
1369,1134
1370,3759
1372,248
1374,2088
1377,1639
1378,5831
1379,3851
1380,340
1383,3992
1386,5444
1387,6147
1388,6261
1390,4513
1391,268
1392,4646
1393,1145
1394,433
1396,1901
1397,4555
1398,6032
1399,2095
1401,2961
1402,3134
1403,5469
1404,2929
1405,2095
1406,79
1407,532
1409,2987
1410,1980
1411,651
1412,1151
1413,35
1415,5979
1416,1215
1417,3401
1418,1797
1419,4973
1420,4211
1421,3502
1422,4433
1423,3555
1424,3776
1425,5649
1428,4691
1429,4485
1430,2014
1431,1941
1432,2277
1433,5004
1434,3419
1436,2629
1438,2021
1439,1210
1442,1297
1446,3238
1447,5942
1449,1006
1450,5632
1452,4961
1453,3992
1454,3691
1455,6239
1456,4996
1458,4965
1459,3839
1460,1810
1463,5207
1464,3647
1467,1509
1468,3020
1469,2899
1473,2418
1474,4513
1475,6186
1477,572
1479,5249
1480,1237
1482,1381
1483,1912
1485,2491
1486,737
1487,29
1489,5925
1490,332
1492,5831
1494,2027
1496,506
1497,5306
1501,5084
1502,4007
1503,2094
1506,3
1507,3849
1508,3460
1509,5789
1510,3234
1512,5926
1513,1679
1514,5176
1515,3705
1516,3868
1518,1633
1519,5053
1520,3936
1523,4738
1524,248
1525,1156
1526,4590
1527,5621
1529,4763
1531,2277
1533,4542
1534,1585
1535,4984
1536,1288
1539,2636
1540,3398
1543,1174
1544,3776
1545,2483
1546,4145
1547,6040
1548,3242
1550,4593
1551,2056
1552,261
1553,2025
1554,4891
1555,5126
1556,5469
1557,1546
1558,3578
1559,4674
1560,6004
1561,3435
1564,4761
1565,4930
1566,2779
1568,3900
1570,1292
1572,3415
1576,3586
1577,1807
1581,2953
1582,2379
1583,4574
1584,4022
1585,6331
1586,132
1589,5741
1591,1776
1592,5708
1594,2145
1595,5253
1597,1789
1599,6124
1600,3536
1601,409
1603,5873
1604,4109
1605,3163
1606,536
1607,935
1608,2727
1609,1107
1610,4441
1611,2253
1612,4552
1614,4309
1615,2035
1616,4697
1618,237
1620,5307
1621,260
1622,4555
1625,763
1626,4526
1628,3882
1629,5047
1633,5020
1634,4829
1636,4663
1638,3793
1639,2021
1640,6122
1641,5528
1642,2169
1643,3756
1644,1502
1645,5084
1647,5159
1648,298
1649,408
1651,783
1652,2471
1653,4952
1655,4313
1657,1238
1658,3855
1660,5690
1661,6035
1662,1210
1663,4952
1665,4891
1666,2975
1667,3453
1668,3270
1669,5057
1670,5570
1671,2579
1673,5892
1674,4831
1675,2116
1676,5272
1677,4892
1678,2360
1679,3648
1681,3616
1682,4219
1683,290
1684,1160
1685,4015
1686,1835
1688,489
1689,3256
1690,5985
1691,2031
